car_id,detection_time,sensor,cubic_capacity,sighting_id
AOKX0000091177,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6250.0,1216324
CCBX0000071069,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6270.0,1216324
DOWX0000060171,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6241.0,1216324
DOWX0000069720,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6224.0,1216324
AOKX0000090336,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6250.0,1216324
DOWX0000069511,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6224.0,1216324
CCBX0000072232,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6221.0,1216324
CCBX0000072605,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6221.0,1216324
DOWX0000060243,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6241.0,1216324
CCBX0000058606,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6270.0,1216324
DOWX0000060558,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6241.0,1216324
DOWX0000069016,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6200.0,1216324
DOWX0000069389,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6224.0,1216324
CCBX0000058647,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6270.0,1216324
CCBX0000072369,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6221.0,1216324
DOWX0000069721,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6224.0,1216324
WFRX0000884572,2024-01-10 13:56:43.623000+00:00,"Phelan, BC",6250.0,1216324
CRDX0000015066,2024-01-14 08:45:24.605000+00:00,"Phelan, BC",6300.0,1225579
DOWX0000060633,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6241.0,1230614
NCIX0000007880,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6400.0,1230614
SHPX0000464470,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6224.0,1230614
TILX0000637960,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6351.0,1230614
TILX0000638268,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6351.0,1230614
TILX0000640062,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6351.0,1230614
TILX0000638757,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6351.0,1230614
